B00,King's Pawn Opening; B00,e2e4,
E21,"Shocron Gambit, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5 b7b5,
E21,"Euwe Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5 f6e4,
E20,"Romanishin Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 e8g8 f1g2,
E20,"English Hybrid, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 e8g8 f1g2 c5d4 f3d4 d7d5 c4d5 f6d5,
E20,"Ragozin Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 d7d5,
E22,"Spielmann Variation, Nimzo-Indian; E22",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3,
E23,"Romanovsky Gambit, Nimzo-Indian; E23",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6,
E23,"San Remo Variation, Nimzo-Indian; Stahlberg Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4c5,
E23,"Stahlberg Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4c5 b3c2 f7f5 g2g3,
E23,"Carlsbad Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4d2,
E23,"Stahlberg Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4d2 f3d2 e8g8 e1c1,
E32,"Classical Variation, Nimzo-Indian; E32",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2,
E38,"Berlin Variation, Nimzo-Indian; E38",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5,
E38,"Steiner Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 b4c3,
E39,"Pirc Variation, Nimzo-Indian; E39",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 e8g8,
E34,"Noa Variation, Nimzo-Indian; E34",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5,
E36,E36,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3,
E36,"Botvinnik Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 b8c6,
E37,E37,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4,
E37,"San Remo Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4 c3c2 b8c6 e2e3 e6e5,
E35,E35,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 e6d5,
E33,"Milner-Barry, Zurich Variation, Nimzo-Indian; E33",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6,
E33,"Milner-Barry Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d7d6,
E33,"Old Zurich Variation, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d7d6 a2a3,
E33,"Vitolinsh-Adorjan Gambit, Nimzo Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b5,
E33,"Keres Defense, Nimzo-Indian",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6,
E10,Anti-Nimzo-Indian; E10,d2d4 g8f6 c2c4 e7e6 g1f3,
E10,Dzindzi-Indian Defense,d2d4 g8f6 c2c4 e7e6 g1f3 a7a6,
E12,Queen's Indian Defense; E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6,
E12,"Petrosian Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3,
E12,"Farago Defense, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8a6 d1c2 a6b7,
E12,"Miles Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 c1f4,
E14,"Spassky System, QID; E14",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3,
E14,"Averbakh Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 c7c5 e1g1 f8e7 b2b3 e8g8 c1b2 c5d4 f3d4,
E15,"Fianchetto System, QID; E15",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3,
E15,"Nimzovich Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6,
E15,"Quiet Line, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3,
E15,"Nimzovich Attack, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1a4,
E15,"Timman's Line, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1b3,
E16,"Fianchetto Traditional, QID; E16",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7,
E16,"Capablanca Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4,
E16,"Yates Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 a7a5,
E16,"Riumin Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4e7,
E17,"Traditional Variation, QID; E17",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7,
E17,Anti-Queen's Indian System,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3,
E17,"Opocensky Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3 f6e4 c1d2,
E17,"Classical Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1,
E17,"Euwe Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b2b3,
E17,"Taimanov Gambit, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d4d5 e6d5 f3d4,
E17,"Polugaevsky Gambit, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d4d5 e6d5 f3h4,
E18,E18,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3,
E18,"Tiviakov Defense, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 b8a6,
E19,E19,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 f6e4 d1c2,
E17,"Kramnik Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 f1e1,
E15,"Saemisch Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5,
E16,"Buerger Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 d4d5 e6d5 f3g5,
E16,"Rubinstein Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 d4d5 e6d5 f3h4,
E16,"Fine Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 d8c8 e1g1 c7c5 d4d5,
E12,"Kasparov Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3,
E12,"Kasparov-Petrosian Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3,
E12,"Polovodin Gambit, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 e2e4,
E12,"Hedgehog Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 g7g6,
E13,E13,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 c1g5 h7h6 g5h4 f8b4,
E12,"Botvinnik Variation, QID",d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 c1g5 h7h6 g5h4 g7g5 h4g3 f6h5,
E11,Bogoljubow Defense; Bogo-Indian Defense; E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4,
E11,"Nimzovich Variation, Bogo-Indian",d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 d8e7,
E11,"Grunfeld Variation, Bogo-Indian",d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1d2,
E10,Blumenfeld Variation,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5,
E10,Blumenfeld Countergambit,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5,
E10,Dus-Chotimursky Variation,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 c1g5,
E10,"Spielmann Variation, Blumenfeld",d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 c1g5 e6d5 c4d5 h7h6,
E10,Blumenfeld Countergambit Accepted,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 d5e6 f7e6 c4b5 d7d5,
E10,"Rubinstein Variation, Blumenfeld",d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 e2e4,
E10,Dory (Doery) Defense,d2d4 g8f6 c2c4 e7e6 g1f3 f6e4,
A50,Medusa Gambit,d2d4 g8f6 c2c4 g7g5,
D70,King's Indian Defense; West Indian Defense; D70,d2d4 g8f6 c2c4 g7g6,
E60,King's Indian Defense; West Indian Defense; E60,d2d4 g8f6 c2c4 g7g6,
D70,Anti-Grunfeld Variation,d2d4 g8f6 c2c4 g7g6 d4d5,
D70,Danube Gambit; Adorjan Gambit,d2d4 g8f6 c2c4 g7g6 d4d5 b7b5,
D70,Danube; Donau Gambit,d2d4 g8f6 c2c4 g7g6 d4d5 b7b5 c4b5 a7a6 b5a6 c7c6,
D70,Nimzovich Attack; Anti-Grunfeld; Alekhine Variation,d2d4 g8f6 c2c4 g7g6 f2f3,
D70,Goglidze Attack,d2d4 g8f6 c2c4 g7g6 f2f3 d7d5,
D70,Leko Gambit,d2d4 g8f6 c2c4 g7g6 f2f3 e7e5,
E60,"Fianchetto Variation, KID",d2d4 g8f6 c2c4 g7g6 g2g3,
E60,Counterthrust Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d5,
E60,Kemeri Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d5 c4d5 f6d5 g1f3 e8g8 e1g1 c7c5,
E60,Yugoslav Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d6 g1f3 e8g8 b1c3 c7c5,
E60,Bronstein Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d6 g1f3 e8g8 b1c3 c7c6 e1g1 d8a5,
E60,Panno Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d6 g1f3 e8g8 b1c3 b8c6 e1g1 a7a6 h2h3 a8b8,
E60,Spassky Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d6 g1f3 e8g8 b1c3 b8c6 e1g1 c8f5,
E60,Simagin Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d6 g1f3 e8g8 b1c3 b8c6 e1g1 c8g4,
E60,Szabo Variation,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d6 g1f3 e8g8 b1c3 b8c6 e1g1 e7e5,
E60,Panno System,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d6 g1f3 e8g8 e1g1 b8c6 d4d5 c6a5,
D70,Kemeri; Neo-Grunfeld,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5,
D71,Counterthrust Variation,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7,
D71,"Exchange Variation, Neo-Grunfeld",d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 c4d5 f6d5,
D72,D72,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 c4d5 f6d5 e2e4 d5b6,
D73,D73,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3,
D74,"Delayed Exchange Variation, Neo-Grunfeld; D74",d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 c4d5 f6d5 e1g1,
D75,D75,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 c4d5 f6d5 e1g1 c7c5,
D76,D76,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 c4d5 f6d5 e1g1 d5b6,
D77,"Classical Variation, Neo-Grunfeld; D77",d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 e1g1,
D78,"Original Defesne, Neo-Grunfeld; D78",d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 e1g1 c7c6,
D79,D79,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 e1g1 c7c6 c4d5,
D79,"Ultra-delayed Exchange Variation, Neo-Grunfeld",d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 e1g1 c7c6 c4d5 c6d5,
D78,"Modern Defense, Neo-Grunfeld",d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 e1g1 d5c4,
D78,"Polgar Variation, Neo-Grunfeld",d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 g1f3 e8g8 e1g1 b8c6,
E61,E61,d2d4 g8f6 c2c4 g7g6 b1c3,
E61,"Smyslov Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 c1g5,
E70,"Normal Variation, KID; E70",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4,
E77,"Six Pawns Attack, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6,
E73,E73,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2,
E73,"Semi-Averbakh System, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1e3,
E73,"Averbakh Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5,
E73,"Spanish Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 a7a6,
E74,"Benoni Defense, KID; E74",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 c7c5,
E73,"Flexible Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 h7h6,
E73,"Burgess Line, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 b8a6 d1d2 c7c6,
E73,"Geller Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 b8d7,
E70,"Accelerated Averbakh Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 c1g5,
E80,"Saemisch Variation, KID; E80",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3,
E81,"Normal Defesne, Sameisch Variation, KID; E81",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8,
E82,"Double Fianchetto, KID; E82",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b7b6,
E81,"Byrne Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 c7c6 f1d3 a7a6,
E85,"Orthodox Variation, KID; E85",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5,
E87,"Closed Variation, KID; E87",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5,
E88,E88,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5 c7c6,
E89,E89,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5 c7c6 g1e2,
E87,"Bronstein Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5 f6h5 d1d2 d8h4 g2g3 h5g3 d2f2 g3f1,
E86,E86,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 g1e2 c7c6,
E83,"Yates Defense, KID; E83",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b8c6,
E83,"Panno Formation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b8c6 g1e2 a7a6,
E84,E84,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b8c6 g1e2 a7a6 d1d2 a8b8,
E83,"Ruban Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b8c6 g1e2 a8b8,
E81,"Steiner Attack, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1g5,
E81,"Bobotsov-Korchnoi-Petrosian Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 g1e2,
E76,"Four Pawns Attack, KID; E76",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4,
E76,"Six Pawns Attack, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 c7c5 d4d5 e8g8 f1e2 e7e6 d5e6 f7e6 g2g4 b8c6 h2h4,
E76,"Modern Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 b8a6,
E77,E77,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 f1e2,
E77,"Florentine Gambit, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 f1e2 c7c5 d4d5 e7e6 g1f3 e6d5 e4e5,
E78,"Fluid Attack, KID; E78",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 f1e2 c7c5 g1f3,
E79,"Exchange Variation, Four Pawns Attack, KID; E79",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 f1e2 c7c5 g1f3 c5d4 f3d4 b8c6 c1e3,
E76,"Dynamic Attack, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 g1f3 c7c5 d4d5,
E72,"Deferred Fianchetto, KID; E72",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g2g3,
E72,"Pomar System, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g2g3 e8g8 f1g2 e7e5 g1e2,
E71,"Makogonov Variation, KID; E71",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3,
E90,E90,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3,
E91,"Orthodox Variation, KID; E91",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2,
E92,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5,
E92,"Gligoric-Taimanov Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 c1e3,
E92,"Petrosian Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5,
E92,"Stein Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5 a7a5,
E93,E93,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5 b8d7,
E93,"Keres Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5 b8d7 c1g5 h7h6 g5h4 g6g5 h4g3 f6h5 h2h4,
E94,E94,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1,
E94,"Ukranian Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 a7a5,
E94,"Donner Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 c7c6,
E94,"Glek Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8a6,
E95,E95,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8d7 f1e1,
E96,E96,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8d7 f1e1 c7c6 e2f1 a7a5,
E97,"Aronin-Taimanov Variation, KID; E97",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6,
E97,"Normal Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7,
E97,"Bayonet Attack, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4,
E97,"Yepishin's Line, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 f6h5 d1c2,
E97,"Sokolov's Line, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 f6h5 f1e1,
E97,"Korchnoi Attack, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 c1d2,
E98,E98,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1,
E98,"Kozul Gambit, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 c1e3 f7f5,
E99,"Benko Attack, KID; E99",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3,
E99,"Benko Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3 f7f5 g2g4,
E90,"Larsen Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 c1e3,
E90,"Zinnowitz Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 c1g5,
E61,"Smyslov Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 c1g5,
E62,"Delayed Fianchetto, KID; E62",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3,
E64,"Yugoslav Variation, KID; E64",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 c7c5,
E65,E65,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 c7c5 e1g1,
E66,E66,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 c7c5 e1g1 b8c6 d4d5,
E62,"Larsen Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 c7c6 e1g1 c8f5,
E62,"Kavalek Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 c7c6 e1g1 d8a5,
E62,"Benjamin Defense, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 c7c6 e1g1 d8b6,
E67,"Debrecen Defense, KID; E67",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 b8d7,
E68,E68,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 b8d7 e1g1 e7e5 e2e4,
E69,E69,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 b8d7 e1g1 e7e5 e2e4 c7c6 h2h3,
E62,"Carlsbad Variation, KID",d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 e8g8 f1g2 b8c6,
